%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=214814, 2023/08/25 18:57:17.16)
1 15  4.170258626863957261e+02 0 0 1.962476e-01 1.448415e+00 5.262752e-01 5.935751e-01 6.417056e-01 -8.709914e-03 3.310130e-01 5.569718e-01 4.637148e-01 7.540632e-01 4.458337e-01 3.328307e-01 5.003965e-01 7.667369e-01 7.209731e-01 3.970473e-01 6.061357e-01 7.536143e-01 8.056251e-01 7.531012e-01 9.294824e-01 5.984175e-01 8.708036e-01 5.758257e-01 1.779115e-01 8.552655e-01 9.184024e-01 3.010632e-01 2.414523e-01 5.432926e-01 1.009603e+00 5.927092e-01 5.653830e-01 3.287711e-01 
2 29  1.255486991538391294e+03 0 0 5.552099e-01 9.036645e-01 6.330620e-01 5.253842e-01 2.300652e-01 3.316139e-01 4.242052e-01 6.092236e-01 9.618931e-01 1.528987e-01 5.521297e-01 6.487789e-01 8.363293e-01 6.670598e-01 9.191001e-01 -1.618055e-01 4.994427e-01 5.378805e-01 4.680390e-01 7.267169e-01 7.898811e-01 2.741305e-01 1.469016e+00 8.104918e-01 3.443302e-01 6.465300e-01 9.889341e-01 1.681368e-01 -6.234892e-02 4.965156e-01 1.460149e+00 4.355950e-01 4.369745e-02 -1.846170e-02 
3 43  6.164784233383037417e+02 0 0 1.937272e-01 9.557986e-01 1.110732e+00 8.684624e-01 9.352480e-01 2.314201e-01 4.939662e-01 3.868585e-02 2.294791e-01 7.363105e-01 4.177902e-01 1.137991e+00 8.041066e-01 3.285888e-01 6.149533e-01 2.216633e-01 5.772443e-01 8.636030e-01 8.557876e-01 1.048470e+00 4.107239e-01 8.580009e-01 3.018886e-01 5.926913e-01 3.245763e-01 8.424178e-01 1.333497e+00 4.076790e-01 3.475096e-01 4.864482e-01 7.510738e-01 -6.540825e-02 3.638029e-01 -1.297457e-01 
4 57  5.414187747881779842e+02 0 0 4.728103e-01 7.181182e-01 9.810565e-01 6.455096e-01 6.681317e-01 2.210778e-01 4.992872e-01 2.331543e-01 1.303216e-01 2.469664e-01 5.238342e-01 1.040686e+00 5.130824e-01 5.299323e-01 5.327778e-01 2.078857e-01 3.493670e-01 1.024796e+00 1.098303e+00 1.255692e+00 8.472932e-02 9.034746e-01 5.931444e-01 4.671195e-01 3.698545e-01 6.041502e-01 9.011870e-01 1.450359e-01 -7.740149e-02 2.221165e-01 6.560007e-01 -1.244790e-01 4.855297e-01 6.354359e-01 
5 71  1.187990200408616147e+03 0 0 2.243751e-01 1.062911e+00 7.182088e-01 7.804432e-01 7.787047e-01 1.010812e-01 2.710779e-01 3.747372e-01 7.523420e-01 7.724286e-01 7.464442e-01 9.290849e-01 7.632732e-01 6.148029e-01 2.563670e-01 2.166155e-01 5.223888e-01 9.429533e-01 9.855712e-01 5.514667e-01 2.858167e-02 2.263440e-01 9.875382e-01 6.040689e-01 2.323763e-01 4.695982e-01 7.222275e-01 9.771112e-01 4.376964e-01 1.610806e-01 1.082685e+00 7.941011e-02 8.740115e-01 -1.863350e-01 
6 85  7.094495684519265524e+02 0 0 2.470420e-01 1.134329e+00 8.399414e-01 9.152964e-01 6.583193e-01 2.547064e-01 2.137160e-01 4.992713e-01 5.197190e-01 5.676994e-01 9.127187e-01 7.366727e-01 9.631765e-01 7.582941e-01 2.945531e-01 1.966689e-01 -1.095960e-01 6.591849e-01 1.042203e+00 8.694029e-01 3.286562e-02 7.134619e-01 7.631346e-01 1.196859e+00 3.729467e-01 8.418248e-01 7.651953e-01 8.804378e-01 -2.669414e-02 2.124189e-01 1.072226e+00 8.248461e-02 8.138778e-01 -4.268903e-02 
7 99  4.574860580205648262e+02 0 0 3.719000e-01 9.428666e-01 4.922685e-01 3.346928e-01 1.269945e+00 9.003550e-01 5.513310e-01 6.543884e-01 4.868797e-01 9.257313e-01 8.410224e-01 6.544569e-01 8.429493e-01 7.879097e-01 3.687980e-01 6.118603e-01 7.396499e-01 8.167831e-01 7.981736e-01 6.847766e-01 3.027454e-01 2.718518e-01 5.911497e-01 8.973390e-01 5.642459e-01 7.306764e-01 9.327626e-01 6.926891e-01 1.744394e-01 1.907576e-01 1.211019e+00 -2.595344e-01 6.461612e-01 -1.074661e-02 
8 113  3.646160901226426176e+02 0 0 2.159838e-01 9.672314e-01 6.508037e-01 4.719554e-01 7.575689e-01 6.058564e-01 2.632984e-01 6.900124e-01 4.794859e-01 5.768409e-01 6.340652e-01 1.068503e+00 6.296111e-01 5.542056e-01 4.583792e-01 5.494765e-01 6.334905e-01 1.001036e+00 1.234638e+00 5.962172e-01 3.714156e-01 2.580389e-01 3.782699e-01 4.917726e-01 5.465006e-01 4.910504e-01 9.074325e-01 5.905997e-01 -2.700489e-01 4.602839e-02 6.780463e-01 1.208012e-02 4.343221e-01 1.953746e-01 
9 127  2.586644468516822712e+02 0 0 4.769751e-01 9.829796e-01 4.662159e-01 6.565933e-01 5.821545e-01 3.286794e-01 2.405062e-02 4.325828e-01 9.194870e-01 6.430165e-01 6.582784e-01 6.611629e-01 6.246465e-01 5.830787e-01 6.820498e-01 5.203025e-02 3.032284e-01 6.256393e-01 8.677953e-01 5.586820e-01 2.227400e-01 1.088455e-01 4.506038e-01 6.095374e-01 1.822765e-01 7.609449e-01 6.072255e-01 4.999057e-01 2.219970e-01 1.251465e-01 4.484827e-01 4.395394e-01 6.901895e-01 5.372168e-01 
10 141  2.068816085783536209e+02 0 0 6.503698e-01 7.934074e-01 7.902322e-01 3.604797e-01 8.346990e-01 5.475017e-01 -4.080130e-03 4.303600e-01 4.684892e-01 8.728189e-01 6.255760e-01 8.365746e-01 4.465467e-01 5.410397e-01 3.246841e-01 1.030631e-01 1.022205e-01 7.329625e-01 1.013914e+00 6.757196e-01 5.483447e-01 7.944046e-01 6.839851e-01 6.979749e-01 7.478988e-01 1.005179e+00 1.150302e+00 6.924089e-01 -2.235639e-02 3.449734e-01 3.580727e-01 6.487922e-02 3.565098e-01 6.018865e-01 
