%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=212104, 2023/08/14 14:39:23.05)
1 15 2.851757e-01 1.034355e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+13  1.000000000000000000e+18
2 29 2.741439e-01 1.039349e+00  1.000000000000000000e+05  1.000000000000000000e+05  5.005000000000000000e+10  1.000000000000000000e+15
3 43 2.663398e-01 1.047742e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+11
4 57 2.583613e-01 1.052921e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+13
5 71 2.470022e-01 1.058844e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+13
6 85 2.371307e-01 1.064290e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+15
7 99 2.290332e-01 1.070377e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+11
8 113 2.192009e-01 1.078572e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05
9 127 2.114363e-01 1.086023e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+18
10 141 2.035242e-01 1.090380e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+18
11 155 1.963089e-01 1.095195e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+18
12 169 1.909801e-01 1.100097e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+11
13 183 1.850727e-01 1.102333e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05
14 197 1.838462e-01 1.117995e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05
15 211 1.816412e-01 1.127058e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05
16 225 1.781441e-01 1.132926e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05
17 239 1.766438e-01 1.140201e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+11
18 253 1.729069e-01 1.149841e+00  4.701169694807585415e+02  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05
19 267 1.676409e-01 1.157330e+00  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+18
20 281 1.614873e-01 1.161722e+00  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+15
21 295 1.543022e-01 1.164428e+00  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05
22 309 1.471672e-01 1.166008e+00  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05
23 323 1.972071e-01 1.166423e+00  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+18
24 337 1.912537e-01 1.167763e+00  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+11
25 351 1.829856e-01 1.170481e+00  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+13
26 365 1.735833e-01 1.175422e+00  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+15
27 379 1.672628e-01 1.177993e+00  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05
28 393 2.283134e-01 1.179631e+00  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05
29 407 2.232584e-01 1.181577e+00  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+13
30 421 2.165213e-01 1.182190e+00  4.701169694807585415e+02  1.714038563136976109e+03  1.000000000000000000e+05  1.000000000000000000e+18
31 435 2.101661e-01 1.183989e+00  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+18
32 449 2.078457e-01 1.189072e+00  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05
33 463 2.058690e-01 1.198634e+00  4.701169694807585415e+02  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05
