%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=209231, 2023/08/17 11:6:27.33)
1 15  1.000000000000000000e+05 0 0 4.027679e-01 3.230348e-01 4.412508e-01 4.962805e-01 2.435576e-01 8.065387e-01 7.849555e-01 2.309162e-01 7.990665e-01 -1.226274e-01 -2.109531e-01 7.149226e-01 5.203659e-01 7.201216e-01 6.389786e-01 1.457522e+00 4.939230e-01 5.642493e-01 3.860737e-01 9.309494e-01 8.129337e-01 7.517160e-01 8.042937e-01 8.054641e-01 5.933485e-01 2.358863e-01 -3.895594e-02 4.724184e-01 5.488113e-01 6.478758e-01 1.939325e-01 2.831577e-01 -5.324359e-03 1.847480e-01 
2 29  1.000000000000000000e+05 0 0 1.750928e-01 8.882839e-02 3.557260e-01 5.069237e-01 -2.861828e-01 8.457844e-01 5.898087e-01 -1.864171e-01 8.678354e-01 8.244830e-01 3.119912e-02 6.138713e-01 -5.343680e-02 4.472899e-01 5.032987e-01 1.419408e+00 3.681130e-02 3.627541e-01 7.564771e-01 2.955429e-01 4.054392e-01 9.116262e-01 3.977780e-02 -1.318744e-01 9.497139e-02 4.669675e-01 5.580183e-01 4.075338e-01 9.254252e-01 1.237995e+00 3.925824e-01 -1.727992e-01 -7.493901e-02 5.937611e-01 
3 43  1.000000000000000000e+05 0 0 1.521713e-01 -4.755690e-01 4.715943e-01 3.113341e-01 -6.205971e-01 5.571116e-01 1.420931e-01 -5.174193e-01 3.443853e-01 -1.566733e-01 -2.251411e-01 -9.561392e-02 -1.352210e-01 1.137328e+00 6.212585e-01 1.316495e+00 -1.158362e-01 5.479101e-01 8.323350e-02 1.014863e+00 5.552237e-01 5.366286e-01 6.372972e-01 4.503001e-01 7.786960e-01 5.570227e-01 9.374666e-01 5.905864e-01 7.754013e-01 -2.432078e-02 9.537000e-02 6.503209e-01 3.813240e-01 7.213769e-01 
4 57  1.000000000000000000e+05 0 0 5.474677e-01 3.862749e-02 5.720712e-01 1.070120e+00 -2.448696e-01 6.547187e-01 7.377575e-01 -2.038159e-01 6.482637e-01 1.058332e+00 1.811087e-01 7.268183e-01 -1.147666e-02 1.083873e+00 5.337582e-01 1.150878e+00 -3.342625e-01 6.523335e-01 5.717595e-01 6.901415e-01 1.089734e+00 8.124746e-01 6.807775e-01 2.066689e-01 4.396482e-01 9.844796e-01 -5.945447e-01 -2.349244e-01 4.149671e-01 5.191777e-01 -1.335653e-01 5.305077e-01 5.765458e-01 5.836931e-01 
5 71  1.000000000000000000e+05 0 0 7.123505e-01 3.659251e-01 7.070397e-01 -3.364805e-01 -1.208887e-01 6.662422e-01 8.976780e-01 -2.200326e-01 6.464570e-01 6.927329e-01 7.010835e-01 2.074847e-01 1.516386e-02 7.181908e-01 5.695567e-01 3.480455e-01 7.370985e-01 2.224808e-01 -2.028562e-01 2.251655e-02 4.251417e-01 8.083905e-01 4.287006e-01 7.088896e-02 1.035777e+00 1.277085e+00 4.376407e-01 5.885452e-01 -5.281460e-02 9.465367e-01 3.823429e-01 5.859234e-01 -1.585167e-01 3.799433e-01 
6 85  1.000000000000000000e+05 0 0 7.316240e-01 8.101121e-01 2.333796e-01 5.230120e-01 -8.807675e-02 1.487754e+00 1.682308e+00 2.211661e-01 4.966404e-01 -1.014753e-01 5.675664e-01 2.817236e-01 -2.180493e-01 1.619330e+00 3.403636e-01 6.314507e-01 4.779788e-01 2.561167e-01 2.808274e-01 3.855759e-02 4.992628e-01 2.736554e-01 9.524048e-01 1.338288e-04 1.021220e-01 8.534072e-01 1.326524e-01 -2.718079e-01 -2.864618e-01 1.611239e+00 -1.506341e-01 6.656969e-01 2.289963e-01 7.714732e-01 
7 99  1.000000000000000000e+05 0 0 6.833150e-01 1.901248e-01 1.865039e-01 4.115663e-01 5.103948e-01 5.085250e-01 8.768043e-01 -1.911032e-01 2.420487e-01 2.409813e-01 9.919953e-01 9.113111e-01 4.307318e-01 1.445890e+00 2.484971e-01 1.493636e-01 7.373820e-01 1.994386e-01 -9.472231e-02 -1.542077e-02 7.473911e-01 6.441826e-01 6.353810e-01 -6.127183e-01 5.429220e-01 2.734424e-01 -2.594503e-01 1.061278e+00 3.705550e-01 5.027505e-01 4.774226e-01 6.216391e-01 2.163419e-01 1.268729e+00 
8 113  1.000000000000000000e+05 0 0 6.452091e-01 -8.984835e-03 3.368660e-01 4.642413e-01 -4.718810e-01 7.038430e-01 5.885189e-01 -2.388312e-01 1.401550e-01 1.190707e+00 2.305399e-01 6.711269e-01 3.213945e-01 9.328441e-01 4.362833e-01 4.451709e-01 -9.547878e-02 8.731366e-01 5.748695e-01 9.854120e-01 5.237717e-01 4.979982e-02 4.862984e-01 1.154714e-01 3.066970e-01 4.493490e-01 4.711746e-01 8.672063e-01 4.684036e-01 3.113829e-01 3.960743e-01 4.477506e-01 7.856763e-01 1.022444e+00 
9 127  1.000000000000000000e+05 0 0 6.876088e-01 4.901875e-01 1.863773e-01 3.455131e-01 8.378006e-02 2.032557e-01 4.121744e-01 -3.252108e-01 2.868640e-01 -2.315131e-01 7.545352e-01 1.085786e+00 9.554365e-02 1.185439e+00 8.609757e-01 6.045577e-01 4.347935e-01 2.933118e-01 -1.404630e-01 -3.705850e-01 6.398556e-01 4.464552e-01 6.866037e-01 1.811634e-01 1.662018e-01 7.131825e-01 5.209746e-01 2.297289e-01 2.309446e-01 -7.626592e-01 5.938623e-01 9.402804e-01 5.179467e-01 3.805817e-01 
10 141  1.000000000000000000e+05 0 0 2.346902e-01 2.815173e-01 4.925733e-01 5.260075e-01 2.356623e-01 3.475454e-01 1.756189e-01 1.122956e-01 -7.118427e-02 5.009960e-01 1.743520e-02 9.570100e-01 2.385578e-01 8.068611e-01 4.630820e-01 5.282699e-01 1.081765e+00 6.301297e-01 1.529518e-01 8.518966e-01 1.037829e+00 1.808431e-01 3.156550e-01 4.571917e-01 5.303674e-01 7.915781e-01 5.862221e-01 6.373652e-01 9.687984e-01 6.200438e-02 2.187613e-01 5.057684e-01 1.332885e+00 1.013018e+00 
