%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=213344, 2023/08/27 1:46:28.45)
1 15 2.802511e-01 0 0 2.796128e-01 2.800276e-01 2.798775e-01 2.803278e-01 2.802168e-01 2.797991e-01 2.801481e-01 2.805512e-01 2.796561e-01 2.800564e-01 2.800855e-01 2.798281e-01 2.798315e-01 2.805817e-01 2.796510e-01 2.804136e-01 2.798169e-01 2.803988e-01 2.800756e-01 2.802523e-01 2.797574e-01 2.801226e-01 2.801032e-01 2.798604e-01 2.808708e-01 2.796444e-01 2.801395e-01 2.797362e-01 2.799567e-01 2.801000e-01 2.799448e-01 2.800931e-01 2.801018e-01 2.798811e-01 
2 29 3.841973e-01 0 0 3.828479e-01 3.849627e-01 3.836985e-01 3.834837e-01 3.863397e-01 3.833755e-01 3.836929e-01 3.848233e-01 3.827214e-01 3.833143e-01 3.840452e-01 3.835220e-01 3.826830e-01 3.841710e-01 3.826069e-01 3.838986e-01 3.829193e-01 3.861294e-01 3.834542e-01 3.835239e-01 3.833172e-01 3.842123e-01 3.843782e-01 3.829498e-01 3.865833e-01 3.826936e-01 3.848599e-01 3.827858e-01 3.838314e-01 3.851371e-01 3.835082e-01 3.832419e-01 3.834906e-01 3.831602e-01 
3 43 3.760750e-01 0 0 3.744618e-01 3.768980e-01 3.751323e-01 3.752063e-01 3.780368e-01 3.748683e-01 3.752339e-01 3.774108e-01 3.738339e-01 3.748450e-01 3.756909e-01 3.750467e-01 3.740672e-01 3.754325e-01 3.738645e-01 3.753311e-01 3.743479e-01 3.777451e-01 3.747906e-01 3.745022e-01 3.747578e-01 3.755966e-01 3.765199e-01 3.740925e-01 3.793493e-01 3.739324e-01 3.760699e-01 3.744289e-01 3.754943e-01 3.763857e-01 3.749599e-01 3.747829e-01 3.745546e-01 3.743754e-01 
4 57 3.642529e-01 0 0 3.619636e-01 3.646855e-01 3.627928e-01 3.633918e-01 3.657041e-01 3.632586e-01 3.630507e-01 3.656326e-01 3.618123e-01 3.627011e-01 3.634417e-01 3.630074e-01 3.624272e-01 3.636242e-01 3.613508e-01 3.631897e-01 3.619876e-01 3.654455e-01 3.624690e-01 3.621646e-01 3.623134e-01 3.631694e-01 3.649788e-01 3.619991e-01 3.677929e-01 3.613655e-01 3.638865e-01 3.625518e-01 3.629999e-01 3.645690e-01 3.631553e-01 3.620926e-01 3.619369e-01 3.625453e-01 
5 71 3.439973e-01 0 0 3.414697e-01 3.445644e-01 3.419515e-01 3.425174e-01 3.459739e-01 3.427013e-01 3.420462e-01 3.450998e-01 3.417614e-01 3.421113e-01 3.437951e-01 3.425511e-01 3.418648e-01 3.427119e-01 3.419195e-01 3.423947e-01 3.414096e-01 3.445361e-01 3.417956e-01 3.417252e-01 3.427952e-01 3.428334e-01 3.444614e-01 3.416795e-01 3.472793e-01 3.407720e-01 3.433248e-01 3.417716e-01 3.420084e-01 3.443635e-01 3.422655e-01 3.416239e-01 3.412339e-01 3.418035e-01 
6 85 3.265897e-01 0 0 3.237806e-01 3.266400e-01 3.248619e-01 3.254881e-01 3.279215e-01 3.250128e-01 3.241940e-01 3.271295e-01 3.249547e-01 3.243856e-01 3.257254e-01 3.247142e-01 3.238875e-01 3.251686e-01 3.243729e-01 3.248221e-01 3.233901e-01 3.266120e-01 3.253230e-01 3.241052e-01 3.251570e-01 3.253680e-01 3.266788e-01 3.242761e-01 3.291861e-01 3.230524e-01 3.259719e-01 3.236930e-01 3.247815e-01 3.264031e-01 3.247686e-01 3.244329e-01 3.234160e-01 3.242930e-01 
7 99 3.076539e-01 0 0 3.046439e-01 3.069773e-01 3.058354e-01 3.065742e-01 3.084250e-01 3.062967e-01 3.050553e-01 3.078553e-01 3.054861e-01 3.050155e-01 3.065890e-01 3.064953e-01 3.045996e-01 3.057063e-01 3.053670e-01 3.057009e-01 3.041969e-01 3.071812e-01 3.060926e-01 3.046893e-01 3.057507e-01 3.061954e-01 3.070454e-01 3.051322e-01 3.098972e-01 3.041412e-01 3.064347e-01 3.044173e-01 3.055011e-01 3.069252e-01 3.051821e-01 3.051231e-01 3.044027e-01 3.052897e-01 
8 113 2.925866e-01 0 0 2.898553e-01 2.912890e-01 2.907675e-01 2.912383e-01 2.932881e-01 2.911243e-01 2.895388e-01 2.922912e-01 2.916100e-01 2.903619e-01 2.914046e-01 2.909124e-01 2.894002e-01 2.904590e-01 2.903218e-01 2.903103e-01 2.885956e-01 2.917840e-01 2.905208e-01 2.891990e-01 2.912265e-01 2.912934e-01 2.917867e-01 2.902308e-01 2.942783e-01 2.890686e-01 2.910432e-01 2.895931e-01 2.904540e-01 2.912044e-01 2.906287e-01 2.897607e-01 2.894200e-01 2.906363e-01 
9 127 2.792360e-01 0 0 2.761897e-01 2.778259e-01 2.771873e-01 2.774978e-01 2.795144e-01 2.779571e-01 2.761547e-01 2.791982e-01 2.785254e-01 2.766683e-01 2.782012e-01 2.769755e-01 2.759690e-01 2.769212e-01 2.770238e-01 2.765976e-01 2.747988e-01 2.778728e-01 2.768371e-01 2.760356e-01 2.781242e-01 2.777608e-01 2.784522e-01 2.769744e-01 2.802880e-01 2.761282e-01 2.775910e-01 2.776180e-01 2.780451e-01 2.773679e-01 2.770311e-01 2.762505e-01 2.760422e-01 2.770946e-01 
10 141 2.696758e-01 0 0 2.662278e-01 2.677062e-01 2.672591e-01 2.675878e-01 2.697131e-01 2.682130e-01 2.665349e-01 2.690207e-01 2.690842e-01 2.668912e-01 2.682783e-01 2.671078e-01 2.664731e-01 2.688238e-01 2.675888e-01 2.670090e-01 2.651050e-01 2.677466e-01 2.671341e-01 2.661111e-01 2.683921e-01 2.683457e-01 2.687261e-01 2.670461e-01 2.702703e-01 2.669397e-01 2.679298e-01 2.677787e-01 2.690312e-01 2.675835e-01 2.672741e-01 2.669794e-01 2.663470e-01 2.672801e-01 
