%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=208935, 2023/02/20 14:22:8.37)
1 15 4.042568e-01 1.041877e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+12
1 15 3.960108e-01 1.033357e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+07  1.000000000000000000e+14
1 15 3.928349e-01 1.030166e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+07  1.000000000000000000e+16
1 15 3.964706e-01 1.026681e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+07  1.000000000000000000e+16
1 15 3.968353e-01 1.039715e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+07  1.000000000000000000e+12
1 15 3.970864e-01 1.028685e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+07  1.000000000000000000e+10
2 29 3.892349e-01 1.050513e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+10
2 29 5.318109e-01 1.038106e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+10
2 29 5.263028e-01 1.047740e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+14
2 29 3.735440e-01 1.034698e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+09
2 29 5.342989e-01 1.035066e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+09
2 29 3.743603e-01 1.052601e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+09
3 43 3.743697e-01 1.057243e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+12
3 43 4.984005e-01 1.041711e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+10
3 43 4.984469e-01 1.052594e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+10
3 43 3.535572e-01 1.037008e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+14
3 43 3.548674e-01 1.060208e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+07  1.000000000000000000e+09
3 43 7.016501e-01 1.050132e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+10
4 57 3.587891e-01 1.068692e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+09
4 57 4.729400e-01 1.043950e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+12
4 57 4.913150e-01 1.061082e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+09
4 57 3.314076e-01 1.040802e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+07
4 57 3.391321e-01 1.062333e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+07  1.000000000000000000e+10
4 57 4.983814e-01 1.058572e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+09
5 71 3.396420e-01 1.069404e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05
5 71 4.475726e-01 1.047412e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+07
5 71 4.747657e-01 1.075176e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+07
5 71 3.170056e-01 1.049358e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+08
5 71 3.296511e-01 1.069575e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+07  1.000000000000000000e+09
5 71 4.828847e-01 1.067885e+00  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+05  1.000000000000000000e+10
