%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=212038, 2023/08/23 1:16:49.38)
1 15  1.000000000000000000e+05 0 0 7.232617e-01 4.471192e-01 1.063426e+00 1.144789e+00 5.558724e-01 5.477472e-01 7.264059e-01 3.294044e-01 2.330414e-01 5.470323e-01 8.996490e-01 4.319693e-01 1.337449e+00 2.165230e-01 4.598538e-01 1.024083e+00 6.426827e-01 2.859349e-01 4.820557e-01 3.050757e-01 1.199402e+00 -1.023305e-01 2.456704e-01 3.419535e-01 4.319252e-01 1.179864e+00 4.982625e-01 -1.055442e-01 -7.104658e-02 6.456660e-01 -7.388003e-03 1.812025e-01 3.968641e-01 -4.874205e-01 
2 29  1.000000000000000000e+05 0 0 1.027413e+00 2.521207e-01 5.890647e-01 1.007096e+00 6.162386e-01 7.384483e-01 7.182990e-01 -2.673330e-02 9.161941e-02 1.376413e+00 7.997134e-01 2.119761e-01 1.354938e+00 6.670412e-01 8.606334e-01 1.002350e+00 5.893319e-01 -2.462556e-01 8.124020e-01 3.662484e-01 1.730228e+00 7.200309e-01 1.113936e+00 4.084211e-01 2.401880e-01 1.074494e+00 6.657871e-01 8.995535e-01 -7.388643e-01 5.767807e-01 -2.516418e-01 -2.508289e-01 9.367160e-01 4.935430e-01 
3 43  1.000000000000000000e+05 0 0 4.313478e-01 8.029203e-01 5.425920e-01 2.811307e-01 5.610322e-02 5.766534e-01 9.076839e-01 8.372154e-02 -8.417497e-02 1.623494e+00 2.030791e-01 5.025101e-01 2.312132e+00 1.143876e+00 -4.125623e-01 8.434891e-01 7.340570e-01 3.723335e-01 1.382913e+00 -6.452024e-02 1.277920e+00 -2.674091e-01 9.657079e-02 5.999669e-02 2.733428e-01 3.200390e-01 6.565781e-01 2.452882e-01 -5.326192e-01 8.870631e-01 -5.565320e-03 5.817292e-01 -2.257945e-01 8.957065e-01 
4 57  1.000000000000000000e+05 0 0 9.070954e-01 7.944856e-01 3.891481e-02 7.861204e-01 -2.149834e-01 2.033252e-01 5.432614e-02 1.244666e-01 -1.078516e-01 1.086470e+00 4.984294e-01 9.574699e-01 8.685541e-01 1.305237e+00 1.375571e+00 5.334682e-01 1.077296e+00 2.643982e-02 1.608604e+00 4.682609e-01 1.991759e+00 1.091287e+00 4.362476e-01 6.532300e-01 1.256869e-01 1.185204e+00 1.020257e+00 4.032747e-01 2.545639e-02 7.772061e-01 -4.306625e-01 -1.841237e-01 7.621448e-02 2.783714e-01 
5 71  1.000000000000000000e+05 0 0 1.541331e+00 5.006617e-02 4.269822e-01 7.040007e-01 2.931924e-01 4.810303e-01 4.497468e-01 -1.770616e-01 3.355483e-01 7.270209e-01 3.397859e-01 8.947810e-01 1.070343e+00 -4.499340e-02 1.110900e+00 8.800801e-01 4.682675e-01 5.138250e-01 5.346266e-01 7.314604e-01 1.558340e+00 1.619763e-01 9.731887e-01 7.769646e-02 2.946635e-01 1.836439e+00 2.139496e-01 1.366644e+00 -5.100052e-01 5.812979e-01 3.337143e-01 -3.854314e-01 4.261337e-01 2.102022e-01 
6 85  1.000000000000000000e+05 0 0 8.692650e-01 6.780511e-01 7.116211e-01 2.237375e-01 -2.600531e-01 2.651642e-01 1.088052e+00 -3.523767e-01 -6.804198e-02 1.077827e+00 1.283982e+00 4.789958e-01 1.074353e+00 7.748541e-01 1.058574e+00 1.272760e+00 1.727174e+00 2.534153e-01 1.341620e+00 6.652149e-01 1.232088e+00 6.070275e-01 8.732720e-01 -7.500763e-02 4.067823e-01 6.810003e-01 5.741028e-01 3.373769e-01 -3.456353e-01 -3.483315e-01 6.120196e-01 1.935024e-01 6.242528e-01 -5.358017e-01 
7 99  1.000000000000000000e+05 0 0 1.334321e+00 3.662218e-01 1.046075e+00 3.552820e-01 -6.168357e-01 -1.733008e-01 -1.048852e-01 -3.117944e-01 5.319417e-01 1.401928e+00 1.481308e+00 4.602579e-01 9.656434e-01 2.844957e-01 8.925304e-01 9.682974e-01 8.462725e-01 2.079220e-01 1.601560e+00 5.698460e-01 3.514257e-01 8.775771e-01 8.725995e-01 1.193115e-01 -5.081728e-01 8.560254e-01 -4.317709e-02 6.103548e-01 -1.305877e-01 6.429770e-01 9.564901e-01 -1.110309e-01 9.448090e-01 -1.068409e-01 
8 113  1.000000000000000000e+05 0 0 8.331886e-01 8.618600e-01 1.217450e+00 4.376457e-01 2.612349e-01 2.820703e-01 9.011643e-01 -4.291436e-01 6.086673e-02 7.246061e-01 8.155365e-01 -1.321109e-02 7.968740e-01 3.883409e-01 7.082136e-02 9.702660e-01 6.216802e-01 9.663858e-02 7.238459e-01 4.775088e-01 9.680981e-01 5.865116e-01 1.491957e+00 1.204474e+00 6.690446e-02 1.044514e+00 3.539347e-01 4.312869e-01 8.378089e-02 4.223768e-01 3.416124e-01 2.563524e-01 1.140481e-01 6.095250e-01 
9 127  1.000000000000000000e+05 0 0 4.264429e-01 3.701525e-01 5.296252e-01 -3.518114e-01 1.497446e-02 -2.038725e-01 1.180180e+00 -9.574096e-01 7.588502e-01 1.674893e+00 8.217561e-01 3.275208e-01 1.199937e+00 8.366476e-01 2.616193e-01 9.273754e-01 7.239021e-01 7.737159e-01 6.757803e-01 7.685844e-02 9.904349e-01 1.467847e+00 1.156833e+00 1.148713e+00 3.257657e-01 1.071046e+00 3.908732e-01 1.410448e-01 2.320366e-01 2.438951e-01 4.545047e-01 3.865615e-01 7.825811e-01 2.514825e-03 
10 141  1.000000000000000000e+05 0 0 7.329498e-01 1.229740e+00 7.210445e-01 6.899161e-02 -4.159430e-02 4.535015e-01 1.072521e+00 -7.639180e-02 1.530736e-01 1.199129e+00 1.327481e+00 -1.144594e-01 6.004135e-01 4.869559e-01 1.097734e+00 1.070017e+00 4.802691e-01 2.689735e-01 3.923005e-01 4.060342e-01 1.114944e+00 5.489082e-01 1.310777e+00 1.505541e+00 -1.751542e-02 1.414615e+00 -2.620012e-01 -3.045989e-01 2.950454e-01 3.712971e-01 3.781500e-01 -3.489518e-01 6.584670e-01 4.282116e-01 
11 155  1.000000000000000000e+05 0 0 3.559803e-01 7.312569e-01 4.641654e-01 1.055726e+00 -5.407283e-01 3.632711e-01 2.780338e-01 4.411462e-01 5.073731e-02 1.139433e+00 9.884057e-01 5.352462e-01 8.990840e-01 4.341691e-01 1.028136e+00 3.225777e-01 3.164549e-01 3.798111e-01 -1.244043e-03 6.584716e-01 1.431713e+00 1.731533e-01 1.295416e+00 1.017517e+00 -4.247638e-01 6.832404e-01 1.963126e-01 -2.015374e-02 1.150512e+00 -1.834381e-01 5.499330e-01 -3.131356e-01 1.111749e+00 2.853942e-01 
12 169  1.000000000000000000e+05 0 0 1.009536e+00 6.368338e-01 2.518151e-01 8.370733e-01 3.423083e-02 1.130239e-01 9.728185e-01 -1.516419e-02 3.614574e-01 2.055427e-01 1.307504e+00 5.089806e-01 9.469448e-01 5.515887e-01 1.309002e+00 4.312735e-01 8.215587e-01 2.475778e-01 -1.992759e-01 6.129686e-01 5.231573e-01 4.093897e-01 1.095567e+00 1.141397e+00 4.221220e-04 1.327401e+00 -1.315409e-01 5.373330e-01 5.979429e-01 6.209465e-01 6.182955e-01 -1.440269e-01 5.129699e-01 3.217256e-01 
13 183  1.000000000000000000e+05 0 0 5.220840e-01 3.345685e-01 8.494860e-01 7.866759e-01 8.924616e-01 5.641759e-01 9.149521e-01 -8.696069e-02 6.942477e-01 1.147869e+00 3.747602e-01 6.567369e-01 1.264337e+00 -9.338769e-02 6.248413e-01 -1.930280e-02 4.089630e-01 3.871601e-01 1.177926e-01 6.262201e-01 9.984490e-01 7.852394e-01 4.792317e-01 8.537949e-01 -2.560425e-03 1.577744e+00 1.405094e-01 5.727172e-01 8.522260e-01 6.976166e-01 6.711839e-01 -7.532895e-01 4.377374e-01 1.418319e-01 
14 197  7.399992885781009591e+02 0 0 9.502746e-01 1.420064e+00 5.345927e-01 9.775673e-01 2.856434e-01 -1.550954e-01 1.072192e+00 3.011613e-01 -2.204485e-02 4.597925e-01 1.231066e+00 3.812014e-01 5.586456e-01 1.826519e-01 1.228130e+00 1.021082e+00 8.501947e-02 1.141160e-01 9.061426e-01 8.121537e-01 1.550731e+00 6.090342e-01 1.029385e+00 1.107396e+00 2.219850e-02 1.082995e+00 -5.503924e-01 4.667300e-01 1.233663e+00 5.337033e-01 6.902464e-01 4.534818e-01 3.101884e-01 2.960075e-01 
15 211  1.000000000000000000e+05 0 0 8.756954e-01 9.125652e-01 2.609965e-01 9.811232e-01 3.336716e-01 3.834981e-01 6.836611e-01 7.832776e-02 2.358599e-01 5.204642e-01 1.452632e+00 4.540067e-01 1.830287e-01 -1.696350e-01 6.608975e-01 6.022003e-01 6.249000e-01 6.575882e-01 1.007723e+00 1.245794e+00 1.063061e+00 8.199253e-01 6.492431e-01 1.001534e+00 4.904824e-01 8.327743e-01 -1.703082e-01 4.956864e-01 6.968128e-01 1.053408e+00 8.579887e-01 1.281572e-01 9.267292e-01 7.091766e-02 
16 225  1.000000000000000000e+05 0 0 1.154230e+00 1.625843e+00 6.379049e-01 1.202635e+00 6.422066e-02 4.685718e-01 2.817589e-01 2.385423e-01 4.665851e-01 5.942026e-01 1.139198e+00 3.342969e-01 3.803291e-01 -3.885127e-01 1.055491e+00 -4.620619e-02 6.527967e-01 7.142477e-01 3.614000e-01 7.874257e-01 1.141455e+00 1.367676e+00 1.069099e+00 5.352629e-01 8.084023e-01 8.419101e-01 -1.519215e-01 3.867279e-02 1.482234e+00 6.298637e-01 4.727375e-01 -1.312309e-01 1.907633e-01 -2.449029e-01 
17 239  1.000000000000000000e+05 0 0 1.344237e+00 1.047363e+00 7.920386e-01 8.783588e-01 4.105301e-01 3.765944e-01 4.743886e-01 3.080653e-01 6.684152e-01 7.842525e-01 9.043969e-01 6.768244e-01 7.361115e-02 -1.158213e-01 6.335574e-01 7.755534e-01 7.268142e-01 1.105094e+00 1.287789e-01 8.618453e-01 6.028652e-01 7.996039e-01 1.079487e+00 9.702398e-01 -2.249107e-01 7.188316e-01 8.433367e-01 3.039985e-01 1.160252e+00 2.091448e-01 4.486436e-01 2.620777e-01 8.453718e-01 1.338976e-01 
