%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=208110, 2023/08/17 11:6:16.11)
1 15  1.000000000000000000e+05 0 0 1.109351e+00 6.678638e-01 1.545261e-01 -7.225973e-02 4.972674e-01 8.839429e-01 8.332855e-01 2.702205e-01 1.768212e+00 2.902443e-01 1.198191e-01 1.136815e+00 3.031591e-03 -9.921709e-02 6.366308e-02 1.291174e-01 1.421716e+00 6.401970e-01 1.549912e-01 5.425173e-01 3.454928e-01 5.652628e-01 6.580252e-01 8.488863e-01 -5.118404e-02 1.479541e-01 3.050789e-01 1.184239e+00 3.678460e-01 1.009874e+00 3.067332e-01 -1.266874e-01 6.752985e-01 6.672480e-01 
2 29  1.000000000000000000e+05 0 0 1.070189e+00 5.006635e-01 -1.675253e-04 -8.352885e-01 -3.964486e-01 7.398767e-01 1.334274e+00 7.741331e-01 9.482979e-01 4.232987e-01 2.763225e-01 1.345257e-01 2.232132e-01 5.943018e-01 5.513841e-01 4.991945e-01 4.238487e-01 3.971834e-01 1.668254e-01 5.159797e-01 9.147916e-01 2.904550e-01 8.721673e-01 6.111200e-01 -1.049331e+00 4.988941e-01 -7.656542e-02 3.775489e-01 6.426278e-02 1.392291e+00 5.380014e-01 -7.050256e-01 1.431678e+00 -3.592252e-02 
3 43  1.000000000000000000e+05 0 0 -2.867028e-01 5.755829e-01 7.494868e-01 -4.819323e-01 8.880890e-01 7.814559e-01 1.110957e+00 -1.234110e-01 8.493414e-01 5.816554e-01 2.043288e-01 1.594644e+00 -1.772333e-01 4.439263e-01 3.739432e-01 9.308903e-01 3.921260e-01 1.676516e-01 6.358524e-01 2.841255e-01 7.968525e-01 3.022306e-01 3.929872e-01 -1.026135e-02 -1.511945e-01 4.373041e-01 2.689632e-01 8.194279e-01 -3.294097e-01 5.367573e-01 8.462079e-01 5.257618e-01 -4.708750e-01 7.625113e-01 
4 57  1.000000000000000000e+05 0 0 7.895509e-01 6.971012e-01 -6.299701e-02 1.685926e-01 -4.765492e-02 8.561376e-01 9.352270e-01 2.743516e-01 6.341429e-01 7.326365e-01 1.676461e-01 1.209644e+00 -2.697854e-01 -3.373950e-02 1.584256e-01 1.216248e+00 7.190653e-01 1.119600e+00 -2.746644e-01 5.981980e-01 7.440357e-01 5.133288e-01 8.103759e-02 1.991345e-02 7.373603e-01 8.480015e-01 6.990952e-01 1.350786e+00 -3.065998e-02 6.328784e-01 9.592161e-01 -1.356468e-01 5.801168e-02 1.438656e-01 
5 71  1.000000000000000000e+05 0 0 1.140380e+00 5.433378e-01 2.756390e-01 2.621814e-01 -1.626401e-01 1.237388e+00 8.081738e-01 3.842675e-01 6.185951e-01 -7.445249e-02 2.164826e-01 1.588519e+00 8.762533e-03 1.042235e+00 3.510599e-01 4.138792e-01 1.132834e+00 6.497085e-01 -5.387817e-01 1.093025e-01 1.900342e-01 3.799456e-01 2.727199e-01 9.354474e-01 1.570780e-02 3.089808e-01 7.435903e-01 -3.009069e-01 -1.060285e-01 3.587692e-01 1.579078e-01 -2.401837e-02 2.202863e-01 4.031098e-01 
6 85  1.000000000000000000e+05 0 0 9.146297e-01 7.863647e-01 3.378914e-01 1.435567e+00 -2.155704e-01 7.712539e-01 8.714634e-01 8.463732e-01 1.913235e-01 7.240397e-01 1.173681e+00 1.230882e+00 -1.183348e-01 4.251023e-01 6.850750e-01 9.720842e-01 1.081415e+00 9.504011e-01 -7.790296e-02 1.414857e-02 -5.042502e-02 4.045976e-01 4.917059e-01 -1.182195e-01 1.012477e+00 7.719764e-01 7.516688e-01 8.604754e-02 -6.227910e-01 -3.026538e-01 1.082310e+00 1.176817e-01 2.744892e-01 1.695170e-02 
7 99  1.000000000000000000e+05 0 0 8.058616e-01 2.934803e-01 8.204306e-01 6.773974e-01 -9.172358e-01 1.048410e+00 8.600512e-01 9.752587e-01 7.857525e-01 4.422895e-01 9.894089e-02 1.170185e+00 1.844947e-01 -3.236055e-01 6.732785e-01 5.658757e-01 1.342905e+00 4.872754e-01 1.447525e-01 7.658722e-01 -1.091606e-01 1.438680e-01 3.593371e-01 -5.235984e-01 6.445925e-01 -1.438962e-01 1.032322e+00 1.046636e+00 -2.395148e-01 1.698429e-01 2.635262e-01 8.098616e-01 2.760771e-01 1.086207e-02 
8 113  1.000000000000000000e+05 0 0 9.095407e-01 4.984062e-02 8.300847e-01 2.368299e-01 -3.669039e-01 7.509500e-01 1.136831e+00 2.287476e-01 4.000552e-01 8.991903e-01 1.237927e+00 1.238212e+00 1.320307e-01 3.482904e-01 5.503223e-01 9.180404e-01 1.199021e+00 9.702971e-01 -1.571404e-01 3.722728e-01 4.786854e-01 2.359123e-01 1.691615e-01 -5.316871e-02 -2.355310e-01 5.357200e-01 4.710791e-01 6.487339e-01 1.270926e-01 6.914006e-02 6.493568e-01 4.087948e-01 2.923677e-01 2.307609e-01 
9 127  1.000000000000000000e+05 0 0 1.119847e+00 -3.195692e-01 9.467415e-01 2.912980e-01 2.409754e-01 8.275585e-01 6.171058e-01 3.515190e-01 2.779004e-01 6.725912e-01 2.970832e-01 1.150830e+00 4.779610e-01 2.510108e-01 6.350159e-01 7.580340e-01 8.652517e-01 9.564739e-01 -2.266331e-01 1.107852e-01 -2.013588e-02 8.401072e-01 2.122254e-01 -5.188647e-02 3.858650e-02 1.068361e-01 8.627737e-01 3.276604e-01 -2.234921e-01 -8.130620e-02 3.890657e-01 6.041279e-01 2.752441e-01 5.664762e-01 
10 141  1.000000000000000000e+05 0 0 7.701616e-01 -3.439281e-01 1.103164e+00 2.709062e-01 6.565271e-02 1.176604e+00 5.685273e-01 2.512066e-01 -1.945779e-01 1.137705e-01 6.707696e-01 1.551220e+00 3.045235e-02 3.642603e-01 7.261731e-01 6.347744e-01 3.485641e-01 9.006294e-01 2.552856e-01 3.360477e-01 1.115641e-01 1.626059e-01 2.802500e-01 -1.870049e-01 -1.977427e-01 5.287026e-01 2.935390e-01 3.496371e-01 1.844302e-02 1.434276e-01 8.390496e-01 5.755839e-02 3.873995e-01 3.081525e-01 
