%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=214814, 2023/08/25 18:57:17.16)
1 15 2.830455e-01 0 0 2.835213e-01 2.838584e-01 2.825679e-01 2.823600e-01 2.831813e-01 2.827678e-01 2.823643e-01 2.823510e-01 2.826854e-01 2.824196e-01 2.827671e-01 2.828850e-01 2.828015e-01 2.828004e-01 2.824585e-01 2.825299e-01 2.825705e-01 2.826531e-01 2.831247e-01 2.823970e-01 2.827611e-01 2.834458e-01 2.826182e-01 2.827946e-01 2.836991e-01 2.836293e-01 2.827628e-01 2.825090e-01 2.826789e-01 2.827257e-01 2.825251e-01 2.841177e-01 2.829809e-01 2.825840e-01 
2 29 2.677846e-01 0 0 2.680327e-01 2.679981e-01 2.669441e-01 2.668319e-01 2.681127e-01 2.671406e-01 2.672498e-01 2.676665e-01 2.676002e-01 2.673819e-01 2.670714e-01 2.673883e-01 2.681414e-01 2.673986e-01 2.670717e-01 2.674063e-01 2.669917e-01 2.670975e-01 2.677346e-01 2.669659e-01 2.673897e-01 2.685694e-01 2.672175e-01 2.674169e-01 2.679994e-01 2.685637e-01 2.669652e-01 2.669730e-01 2.672622e-01 2.669960e-01 2.669726e-01 2.682721e-01 2.678528e-01 2.669643e-01 
3 43 2.584304e-01 0 0 2.589345e-01 2.583569e-01 2.584501e-01 2.571246e-01 2.585045e-01 2.576376e-01 2.575227e-01 2.590659e-01 2.580201e-01 2.576100e-01 2.575779e-01 2.575891e-01 2.584879e-01 2.577117e-01 2.572552e-01 2.577749e-01 2.574529e-01 2.582322e-01 2.591629e-01 2.571973e-01 2.583684e-01 2.589113e-01 2.574884e-01 2.577215e-01 2.581894e-01 2.586327e-01 2.578161e-01 2.572985e-01 2.573487e-01 2.573602e-01 2.574770e-01 2.584497e-01 2.586018e-01 2.572110e-01 
4 57 2.515100e-01 0 0 2.514105e-01 2.514002e-01 2.518845e-01 2.500863e-01 2.512895e-01 2.502615e-01 2.501465e-01 2.521705e-01 2.509638e-01 2.508211e-01 2.509770e-01 2.502786e-01 2.510384e-01 2.503384e-01 2.505536e-01 2.504718e-01 2.504578e-01 2.512388e-01 2.523302e-01 2.500880e-01 2.515032e-01 2.521660e-01 2.501780e-01 2.503558e-01 2.513329e-01 2.512095e-01 2.506284e-01 2.501013e-01 2.504004e-01 2.502213e-01 2.502454e-01 2.513345e-01 2.513153e-01 2.504383e-01 
5 71 2.423818e-01 0 0 2.423469e-01 2.418333e-01 2.425834e-01 2.407075e-01 2.417840e-01 2.411173e-01 2.407174e-01 2.426336e-01 2.423246e-01 2.418226e-01 2.420017e-01 2.408573e-01 2.414366e-01 2.409197e-01 2.413536e-01 2.411865e-01 2.409922e-01 2.419253e-01 2.430477e-01 2.409188e-01 2.422230e-01 2.433312e-01 2.411702e-01 2.411090e-01 2.420466e-01 2.416624e-01 2.411856e-01 2.418491e-01 2.411962e-01 2.406985e-01 2.409629e-01 2.419312e-01 2.423819e-01 2.412407e-01 
6 85 2.318064e-01 0 0 2.313539e-01 2.310389e-01 2.317751e-01 2.302168e-01 2.308456e-01 2.301603e-01 2.301042e-01 2.316371e-01 2.315529e-01 2.310764e-01 2.318474e-01 2.299354e-01 2.312190e-01 2.300512e-01 2.305567e-01 2.302567e-01 2.307999e-01 2.313049e-01 2.319603e-01 2.299778e-01 2.313777e-01 2.323415e-01 2.306223e-01 2.304284e-01 2.310927e-01 2.309823e-01 2.304241e-01 2.312191e-01 2.311225e-01 2.297325e-01 2.300939e-01 2.313957e-01 2.322770e-01 2.303470e-01 
7 99 2.223267e-01 0 0 2.214866e-01 2.212475e-01 2.221481e-01 2.202946e-01 2.209346e-01 2.211464e-01 2.205690e-01 2.219130e-01 2.220061e-01 2.212970e-01 2.224962e-01 2.201595e-01 2.216418e-01 2.201407e-01 2.213582e-01 2.205086e-01 2.213990e-01 2.213954e-01 2.221033e-01 2.203012e-01 2.222630e-01 2.227719e-01 2.212427e-01 2.211889e-01 2.218649e-01 2.211035e-01 2.208947e-01 2.216578e-01 2.216589e-01 2.201020e-01 2.206924e-01 2.216294e-01 2.226179e-01 2.205597e-01 
8 113 2.118259e-01 0 0 2.106178e-01 2.106328e-01 2.113177e-01 2.099095e-01 2.107066e-01 2.106569e-01 2.097179e-01 2.115487e-01 2.114547e-01 2.103711e-01 2.119056e-01 2.094805e-01 2.109968e-01 2.097405e-01 2.105975e-01 2.104201e-01 2.112050e-01 2.112052e-01 2.113201e-01 2.099057e-01 2.113521e-01 2.122107e-01 2.105300e-01 2.103107e-01 2.113851e-01 2.106279e-01 2.100175e-01 2.109313e-01 2.110477e-01 2.095261e-01 2.099516e-01 2.115978e-01 2.119568e-01 2.100286e-01 
9 127 2.004707e-01 0 0 1.989561e-01 1.989834e-01 1.999066e-01 1.983175e-01 1.991677e-01 1.993890e-01 1.981651e-01 1.997757e-01 2.006497e-01 1.987749e-01 2.006234e-01 1.981030e-01 1.992861e-01 1.982036e-01 1.991324e-01 1.990741e-01 1.997361e-01 1.997591e-01 1.995605e-01 1.982587e-01 2.000596e-01 2.007559e-01 1.989635e-01 1.989987e-01 1.998301e-01 1.992618e-01 1.985697e-01 1.995074e-01 1.993791e-01 1.980369e-01 1.987784e-01 2.001328e-01 2.007712e-01 1.988263e-01 
10 141 1.927906e-01 0 0 1.914147e-01 1.918218e-01 1.924653e-01 1.905151e-01 1.911301e-01 1.918497e-01 1.902415e-01 1.919207e-01 1.927773e-01 1.912614e-01 1.926140e-01 1.901673e-01 1.913580e-01 1.906248e-01 1.916821e-01 1.910157e-01 1.928450e-01 1.917291e-01 1.915652e-01 1.905882e-01 1.921637e-01 1.932508e-01 1.912226e-01 1.910165e-01 1.921481e-01 1.913479e-01 1.907406e-01 1.917429e-01 1.915310e-01 1.906954e-01 1.908939e-01 1.922455e-01 1.926451e-01 1.909536e-01 
11 155 1.878197e-01 0 0 1.867601e-01 1.867062e-01 1.872205e-01 1.852171e-01 1.859017e-01 1.874746e-01 1.852106e-01 1.868116e-01 1.874676e-01 1.861841e-01 1.875413e-01 1.850740e-01 1.862854e-01 1.852741e-01 1.863898e-01 1.859374e-01 1.879738e-01 1.863767e-01 1.863169e-01 1.853085e-01 1.872110e-01 1.882174e-01 1.860192e-01 1.857982e-01 1.870780e-01 1.860685e-01 1.861048e-01 1.865638e-01 1.861210e-01 1.855048e-01 1.857720e-01 1.868731e-01 1.874710e-01 1.857756e-01 
12 169 1.794882e-01 0 0 1.788398e-01 1.781747e-01 1.787103e-01 1.768444e-01 1.777044e-01 1.792121e-01 1.768884e-01 1.781548e-01 1.794664e-01 1.778053e-01 1.789163e-01 1.768133e-01 1.778625e-01 1.769153e-01 1.780718e-01 1.773297e-01 1.797034e-01 1.779122e-01 1.776825e-01 1.769287e-01 1.787463e-01 1.797862e-01 1.775144e-01 1.773474e-01 1.784683e-01 1.777080e-01 1.777753e-01 1.780062e-01 1.777101e-01 1.769771e-01 1.777496e-01 1.785027e-01 1.792672e-01 1.775931e-01 
13 183 1.701551e-01 0 0 1.694716e-01 1.686904e-01 1.693097e-01 1.676172e-01 1.683700e-01 1.696638e-01 1.674470e-01 1.686384e-01 1.703604e-01 1.682517e-01 1.696827e-01 1.672905e-01 1.683723e-01 1.674499e-01 1.686455e-01 1.678041e-01 1.702253e-01 1.683888e-01 1.683009e-01 1.675262e-01 1.693223e-01 1.702192e-01 1.681666e-01 1.679817e-01 1.691336e-01 1.683922e-01 1.682401e-01 1.685310e-01 1.681405e-01 1.676460e-01 1.684283e-01 1.689775e-01 1.698136e-01 1.683812e-01 
14 197 1.637095e-01 0 0 1.626851e-01 1.619622e-01 1.625047e-01 1.611667e-01 1.618096e-01 1.630775e-01 1.610632e-01 1.620732e-01 1.637607e-01 1.619354e-01 1.631458e-01 1.610874e-01 1.622977e-01 1.607606e-01 1.622593e-01 1.616317e-01 1.634845e-01 1.619373e-01 1.615333e-01 1.608862e-01 1.627128e-01 1.635968e-01 1.615495e-01 1.614862e-01 1.627261e-01 1.616595e-01 1.618359e-01 1.619444e-01 1.613808e-01 1.617073e-01 1.621224e-01 1.624812e-01 1.633530e-01 1.619904e-01 
15 211 1.587527e-01 0 0 1.576290e-01 1.568219e-01 1.573533e-01 1.560073e-01 1.573057e-01 1.578146e-01 1.560779e-01 1.569640e-01 1.588125e-01 1.569154e-01 1.582775e-01 1.566238e-01 1.571255e-01 1.559810e-01 1.571920e-01 1.564720e-01 1.585087e-01 1.567800e-01 1.562968e-01 1.558569e-01 1.576354e-01 1.583290e-01 1.567625e-01 1.564564e-01 1.576504e-01 1.565207e-01 1.567108e-01 1.572868e-01 1.561422e-01 1.564635e-01 1.569763e-01 1.572394e-01 1.582075e-01 1.568748e-01 
16 225 1.511405e-01 0 0 1.498020e-01 1.490247e-01 1.495538e-01 1.485926e-01 1.495722e-01 1.501177e-01 1.486831e-01 1.491870e-01 1.513846e-01 1.491337e-01 1.504983e-01 1.489101e-01 1.494563e-01 1.482969e-01 1.496612e-01 1.487163e-01 1.506066e-01 1.489761e-01 1.486242e-01 1.482013e-01 1.502140e-01 1.503881e-01 1.494359e-01 1.486794e-01 1.500690e-01 1.498919e-01 1.490599e-01 1.500030e-01 1.487040e-01 1.489697e-01 1.494928e-01 1.499620e-01 1.506914e-01 1.492691e-01 
17 239 1.444131e-01 0 0 1.431472e-01 1.422731e-01 1.428619e-01 1.417460e-01 1.427442e-01 1.431858e-01 1.419517e-01 1.424119e-01 1.444228e-01 1.423054e-01 1.436756e-01 1.422839e-01 1.426437e-01 1.414731e-01 1.432016e-01 1.420678e-01 1.437530e-01 1.421656e-01 1.417620e-01 1.413425e-01 1.432730e-01 1.442398e-01 1.427129e-01 1.418722e-01 1.432974e-01 1.432235e-01 1.421854e-01 1.434535e-01 1.418284e-01 1.421027e-01 1.425566e-01 1.430594e-01 1.437218e-01 1.429252e-01 
18 253 1.390767e-01 0 0 1.376337e-01 1.367435e-01 1.374734e-01 1.362215e-01 1.372294e-01 1.377997e-01 1.365797e-01 1.370100e-01 1.394012e-01 1.368693e-01 1.384217e-01 1.367875e-01 1.372979e-01 1.360011e-01 1.378675e-01 1.366404e-01 1.383773e-01 1.367525e-01 1.364236e-01 1.360198e-01 1.378384e-01 1.390226e-01 1.374405e-01 1.363302e-01 1.378380e-01 1.379407e-01 1.371141e-01 1.380058e-01 1.364301e-01 1.367150e-01 1.370559e-01 1.377434e-01 1.385611e-01 1.377366e-01 
19 267 1.334891e-01 0 0 1.319374e-01 1.310984e-01 1.316688e-01 1.304839e-01 1.315371e-01 1.320458e-01 1.309474e-01 1.313439e-01 1.336345e-01 1.312403e-01 1.327078e-01 1.311272e-01 1.315422e-01 1.304337e-01 1.321244e-01 1.310280e-01 1.326816e-01 1.313084e-01 1.306716e-01 1.305389e-01 1.324718e-01 1.333231e-01 1.319295e-01 1.305368e-01 1.326733e-01 1.322958e-01 1.316996e-01 1.322996e-01 1.309046e-01 1.310136e-01 1.317716e-01 1.320502e-01 1.328233e-01 1.321884e-01 
20 281 1.305074e-01 0 0 1.287659e-01 1.286855e-01 1.285633e-01 1.273709e-01 1.284565e-01 1.289837e-01 1.279540e-01 1.286824e-01 1.308220e-01 1.281476e-01 1.298520e-01 1.282456e-01 1.284321e-01 1.276746e-01 1.289842e-01 1.279674e-01 1.296289e-01 1.281816e-01 1.275867e-01 1.274074e-01 1.294149e-01 1.301572e-01 1.287318e-01 1.274374e-01 1.295283e-01 1.291464e-01 1.285762e-01 1.292753e-01 1.277438e-01 1.278300e-01 1.286814e-01 1.289810e-01 1.299706e-01 1.292936e-01 
21 295 1.294976e-01 0 0 1.275368e-01 1.276579e-01 1.276455e-01 1.262101e-01 1.271772e-01 1.278047e-01 1.267721e-01 1.277369e-01 1.296217e-01 1.270860e-01 1.288336e-01 1.271114e-01 1.273544e-01 1.264773e-01 1.277149e-01 1.272436e-01 1.290509e-01 1.272477e-01 1.265495e-01 1.264180e-01 1.285507e-01 1.292425e-01 1.276066e-01 1.265015e-01 1.285153e-01 1.279576e-01 1.277035e-01 1.282206e-01 1.265850e-01 1.265732e-01 1.277335e-01 1.278679e-01 1.295294e-01 1.284684e-01 
22 309 1.272475e-01 0 0 1.252513e-01 1.253992e-01 1.251943e-01 1.239568e-01 1.248717e-01 1.253944e-01 1.242719e-01 1.260424e-01 1.271824e-01 1.249682e-01 1.264683e-01 1.248224e-01 1.248160e-01 1.243654e-01 1.257749e-01 1.250711e-01 1.269205e-01 1.252356e-01 1.242245e-01 1.240043e-01 1.260917e-01 1.271120e-01 1.252713e-01 1.242268e-01 1.261678e-01 1.256361e-01 1.254146e-01 1.258394e-01 1.242902e-01 1.242968e-01 1.254455e-01 1.263057e-01 1.272599e-01 1.264059e-01 
23 323 1.234054e-01 0 0 1.212973e-01 1.215822e-01 1.211651e-01 1.199874e-01 1.209859e-01 1.214473e-01 1.204523e-01 1.224518e-01 1.231279e-01 1.211075e-01 1.224988e-01 1.208734e-01 1.207979e-01 1.204550e-01 1.218615e-01 1.212997e-01 1.231604e-01 1.213702e-01 1.202405e-01 1.200891e-01 1.221762e-01 1.234291e-01 1.213763e-01 1.202461e-01 1.221296e-01 1.216052e-01 1.214776e-01 1.220613e-01 1.203871e-01 1.204989e-01 1.214641e-01 1.225606e-01 1.234448e-01 1.223365e-01 
24 337 1.224522e-01 0 0 1.213966e-01 1.204941e-01 1.200147e-01 1.189408e-01 1.205981e-01 1.202525e-01 1.197336e-01 1.215276e-01 1.222028e-01 1.205161e-01 1.212622e-01 1.197016e-01 1.197380e-01 1.195886e-01 1.207808e-01 1.203413e-01 1.219893e-01 1.202243e-01 1.192071e-01 1.189236e-01 1.212556e-01 1.222472e-01 1.203088e-01 1.191025e-01 1.209673e-01 1.205463e-01 1.205033e-01 1.213023e-01 1.191978e-01 1.193671e-01 1.203045e-01 1.215419e-01 1.228283e-01 1.213628e-01 
25 351 1.210675e-01 0 0 1.200844e-01 1.195983e-01 1.184542e-01 1.174026e-01 1.190683e-01 1.188616e-01 1.182603e-01 1.200715e-01 1.205388e-01 1.191815e-01 1.197947e-01 1.181729e-01 1.187488e-01 1.181613e-01 1.194056e-01 1.194668e-01 1.206194e-01 1.186017e-01 1.178666e-01 1.174792e-01 1.197093e-01 1.207852e-01 1.186827e-01 1.177100e-01 1.194448e-01 1.190080e-01 1.191937e-01 1.198410e-01 1.179710e-01 1.177731e-01 1.190447e-01 1.199348e-01 1.214391e-01 1.198085e-01 
26 365 1.184351e-01 0 0 1.173135e-01 1.172571e-01 1.156915e-01 1.148642e-01 1.164900e-01 1.161260e-01 1.156198e-01 1.174340e-01 1.177128e-01 1.164941e-01 1.170519e-01 1.153909e-01 1.159187e-01 1.155064e-01 1.166735e-01 1.167765e-01 1.179903e-01 1.158839e-01 1.154483e-01 1.149426e-01 1.168896e-01 1.181606e-01 1.158655e-01 1.150980e-01 1.167235e-01 1.163199e-01 1.163416e-01 1.171158e-01 1.151983e-01 1.153912e-01 1.164358e-01 1.171196e-01 1.187022e-01 1.170345e-01 
27 379 1.170601e-01 0 0 1.164850e-01 1.163050e-01 1.141322e-01 1.134991e-01 1.150257e-01 1.148908e-01 1.143584e-01 1.159988e-01 1.161433e-01 1.149639e-01 1.156743e-01 1.138204e-01 1.145103e-01 1.142254e-01 1.154785e-01 1.154239e-01 1.165023e-01 1.144830e-01 1.141005e-01 1.134366e-01 1.154625e-01 1.167712e-01 1.143915e-01 1.136399e-01 1.151299e-01 1.147586e-01 1.147945e-01 1.155744e-01 1.140841e-01 1.139891e-01 1.148776e-01 1.156075e-01 1.171643e-01 1.156639e-01 
28 393 1.145895e-01 0 0 1.140271e-01 1.142562e-01 1.115276e-01 1.110225e-01 1.125680e-01 1.121982e-01 1.118389e-01 1.137309e-01 1.135204e-01 1.124436e-01 1.130763e-01 1.112686e-01 1.121116e-01 1.116228e-01 1.130488e-01 1.135052e-01 1.138938e-01 1.120058e-01 1.118281e-01 1.108467e-01 1.130165e-01 1.140697e-01 1.117317e-01 1.110489e-01 1.124884e-01 1.124306e-01 1.123904e-01 1.128698e-01 1.115467e-01 1.117048e-01 1.122623e-01 1.130616e-01 1.147713e-01 1.132461e-01 
29 407 1.131338e-01 0 0 1.129809e-01 1.128508e-01 1.102815e-01 1.095260e-01 1.110087e-01 1.107069e-01 1.103029e-01 1.126859e-01 1.119152e-01 1.108746e-01 1.115156e-01 1.098136e-01 1.104891e-01 1.103932e-01 1.118936e-01 1.123366e-01 1.122301e-01 1.104679e-01 1.102968e-01 1.094476e-01 1.113396e-01 1.124428e-01 1.102245e-01 1.096611e-01 1.109940e-01 1.107719e-01 1.108714e-01 1.114189e-01 1.101191e-01 1.101791e-01 1.109577e-01 1.114007e-01 1.132063e-01 1.116660e-01 
